Time,country,eventName,beforeValue,nowValue,expectValue
2000-10-01 17:00,CAD,核心消费价格指数,0.20%,-1,0.20%
2000-10-01 17:00,CAD,核心零售销售 ,1.20%,-1,-0.40%
2000-10-01 17:00,CAD,居民消费价格指数,0.40%,-1,-0.10%
2000-10-01 17:00,CAD,就业人口变化 ,41.90K,-1,19.90K
2000-10-01 17:00,CAD,外资证券购买 ,0.76B,-1,2.26B
2000-10-01 17:00,CAD,国内生产总值,0.20%,-1,0.40%
2000-10-01 17:00,CAD,新屋开工 ,165.50K,-1,150.50K
2000-10-01 17:00,CAD,利率决议 ,5.75%,-1,5.75%
2000-10-01 17:00,CAD,制造业销售额 ,-0.50%,-1,1.80%
2000-10-01 17:00,CAD,新屋价格指数 ,0.30%,-1,0.10%
2000-10-01 17:00,CAD,零售销售 ,0.90%,-1,0.30%
2000-10-01 17:00,CAD,原材料价格指数 ,3.60%,-1,2.30%
2000-10-01 17:00,CAD,贸易收支 ,5.90B,-1,5.61B
2000-10-01 17:00,CAD,失业率 ,6.90%,-1,7.00%
2000-10-01 17:00,CAD,批发销售额 ,0.90%,-1,-1.90%
2000-10-01 17:00,EUR,德国商业期望 ,101.6,-1,101.7
2000-10-01 17:00,EUR,德国居民消费价格指数,0.20%,-1,-0.20%
2000-10-01 17:00,EUR,德国当前评估 ,106.3,-1,106.8
2000-10-01 17:00,EUR,德国工厂订单 ,-0.50%,-1,0.50%
2000-10-01 17:00,EUR,德国工业生产指数 ,0.00%,-1,0.60%
2000-10-01 17:00,EUR,德国生产者物价指数,0.80%,-1,0.20%
2000-10-01 17:00,EUR,德国零售销售 ,-0.50%,-1,-0.50%
2000-10-01 17:00,EUR,德国贸易收支 ,4.70B,-1,3.20B
2000-10-01 17:00,EUR,德国失业人数变化 ,-16.00K,-1,-5.00K
2000-10-01 17:00,EUR,德国失业率 ,9.40%,-1,9.50%
2000-10-01 17:00,EUR,德国ZEW经济现状指数 ,45.8,-1,45.1
2000-10-01 17:00,EUR,德国ZEW经济景气指数 ,40.8,-1,67.7
2000-10-01 17:00,EUR,核心消费价格指数,1.00%,-1,0.90%
2000-10-01 17:00,EUR,居民消费价格指数,2.80%,-1,2.00%
2000-10-01 17:00,EUR,居民消费价格指数,0.50%,-1,0.10%
2000-10-01 17:00,EUR,工业生产指数 ,0.00%,-1,0.10%
2000-10-01 17:00,EUR,利率决议 ,4.50%,-1,4.50%
2000-10-01 17:00,EUR,零售销售 ,0.40%,-1,-0.10%
2000-10-01 17:00,EUR,贸易收支 ,-3.80B,-1,-3.70B
2000-10-01 17:00,EUR,失业率 ,8.70%,-1,8.80%
2000-10-01 20:30,USD,失业率 ,3.90%,-1,4.10%
2000-10-06 20:30,USD,非农就业人数 ,135K,-1,-15K
2000-10-07 01:00,USD,贝克休斯原油钻井设备数量,200,-1,207
2000-10-14 01:00,USD,贝克休斯原油钻井设备数量,209,-1,200
2000-10-19 17:00,EUR,德国Ifo商业景气指数,98,98.5,99
2000-10-21 01:00,USD,贝克休斯原油钻井设备数量,210,-1,209
2000-10-28 01:00,USD,贝克休斯原油钻井设备数量,228,-1,210
2000-11-01 17:00,USD,商业库存 ,0.60%,-1,0.00%
2000-11-01 17:00,USD,谘商会消费者信心 ,135.8,-1,142.5
2000-11-01 17:00,USD,芝加哥PMI ,48,-1,50.1
2000-11-01 17:00,USD,核心消费价格指数,2.50%,-1,2.60%
2000-11-01 17:00,USD,核心消费价格指数,0.20%,-1,0.20%
2000-11-01 17:00,USD,核心PCE物价指数 ,0.10%,-1,0.20%
2000-11-01 17:00,USD,核心PCE物价指数 ,1.80%,-1,1.80%
2000-11-01 17:00,USD,核心零售销售 ,0.00%,-1,1.50%
2000-11-01 17:00,USD,居民消费价格指数,0.20%,-1,0.50%
2000-11-01 17:00,USD,原油库存 ,-0.72M,-1,-0.54M
2000-11-01 17:00,USD,现房销售 ,-0.80%,-1,2.30%
2000-11-01 17:00,USD,成品房销售 ,5.25M,-1,5.29M
2000-11-01 17:00,USD,出口价格指数 ,-0.10%,-1,0.60%
2000-11-01 17:00,USD,工厂订单 ,-4.20%,-1,4.00%
2000-11-01 17:00,USD,联邦财政预算 ,-11.30B,-1,65.70B
2000-11-01 17:00,USD,新屋开工 ,2.80%,-1,-2.20%
2000-11-01 17:00,USD,新屋开工 ,1.55M,-1,1.51M
2000-11-01 17:00,USD,进口物价指数 ,-0.40%,-1,1.20%
2000-11-01 17:00,USD,工业生产指数 ,-0.30%,-1,0.40%
2000-11-01 17:00,USD,初请失业金人数 ,303.73K,-1,300.05K
2000-11-01 17:00,USD,ISM制造业就业指数 ,48.2,-1,50.6
2000-11-01 17:00,USD,ISM制造业PMI ,48.7,-1,49.7
2000-11-01 17:00,USD,ISM非制造业就业指数 ,54.5,-1,53.5
2000-11-01 17:00,USD,ISM非制造业PMI ,56.7,-1,56.7
2000-11-01 17:00,USD,密歇根大学消费者预期指数 ,101,-1,103.4
2000-11-01 17:00,USD,密歇根大学消费者信心指数 ,105.8,-1,108.8
2000-11-01 17:00,USD,新屋销售 ,933.00K,-1,912.00K
2000-11-01 17:00,USD,新屋销售 ,2.30%,-1,7.50%
2000-11-01 17:00,USD,个人支出 ,0.10%,-1,1.20%
2000-11-01 17:00,USD,费城联储制造业指数 ,1.9,-1,5.5
2000-11-01 17:00,USD,费城联储就业指数 ,2,-1,6.8
2000-11-01 17:00,USD,私人部门非农就业 ,-23.00K,-1,237.00K
2000-11-01 17:00,USD,零售销售 ,-0.20%,-1,1.70%
2000-11-01 17:00,USD,TIC长期资本净流入 ,43.90B,-1,40.00B
2000-11-01 17:00,USD,贸易收支 ,-33.20B,-1,-34.00B
2000-11-01 17:00,CAD,营建许可 ,-5.60%,-1,-2.10%
2000-11-01 17:00,CAD,核心消费价格指数,0.10%,-1,0.20%
2000-11-01 17:00,CAD,核心消费价格指数,1.30%,-1,1.10%
2000-11-01 17:00,CAD,核心零售销售 ,0.50%,-1,1.20%
2000-11-01 17:00,CAD,居民消费价格指数,0.20%,-1,0.40%
2000-11-01 17:00,CAD,就业人口变化 ,23.10K,-1,41.90K
2000-11-01 17:00,CAD,外资证券购买 ,13.09B,-1,0.76B
2000-11-01 17:00,CAD,国内生产总值,0.20%,-1,0.20%
2000-11-01 17:00,CAD,新屋开工 ,165.90K,-1,165.50K
2000-11-01 17:00,CAD,利率决议 ,5.75%,-1,5.75%
2000-11-01 17:00,CAD,制造业销售额 ,3.20%,-1,-0.50%
2000-11-01 17:00,CAD,新屋价格指数 ,0.10%,-1,0.30%
2000-11-01 17:00,CAD,零售销售 ,-0.70%,-1,0.90%
2000-11-01 17:00,CAD,原材料价格指数 ,0.60%,-1,3.60%
2000-11-01 17:00,CAD,贸易收支 ,6.33B,-1,5.90B
2000-11-01 17:00,CAD,失业率 ,7.00%,-1,6.90%
2000-11-01 17:00,CAD,批发销售额 ,1.10%,-1,0.90%
2000-11-01 17:00,EUR,德国商业期望 ,102.3,-1,101.6
2000-11-01 17:00,EUR,德国居民消费价格指数,-0.10%,-1,0.20%
2000-11-01 17:00,EUR,德国当前评估 ,106.2,-1,106.3
2000-11-01 17:00,EUR,德国工厂订单 ,0.20%,-1,-0.50%
2000-11-01 17:00,EUR,德国工业生产指数 ,-0.60%,-1,0.00%
2000-11-01 17:00,EUR,德国生产者物价指数,0.40%,-1,0.80%
2000-11-01 17:00,EUR,德国零售销售 ,0.70%,-1,-0.50%
2000-11-01 17:00,EUR,德国贸易收支 ,6.80B,-1,4.70B
2000-11-01 17:00,EUR,德国失业人数变化 ,-28.00K,-1,-16.00K
2000-11-01 17:00,EUR,德国失业率 ,9.40%,-1,9.40%
2000-11-01 17:00,EUR,德国ZEW经济现状指数 ,42.9,-1,45.8
2000-11-01 17:00,EUR,德国ZEW经济景气指数 ,20.4,-1,40.8
2000-11-01 17:00,EUR,核心消费价格指数,1.10%,-1,1.00%
2000-11-01 17:00,EUR,居民消费价格指数,0.00%,-1,0.50%
2000-11-01 17:00,EUR,居民消费价格指数,2.70%,-1,2.50%
2000-11-01 17:00,EUR,工业生产指数 ,0.10%,-1,0.00%
2000-11-01 17:00,EUR,利率决议 ,4.75%,-1,4.50%
2000-11-01 17:00,EUR,零售销售 ,0.50%,-1,0.40%
2000-11-01 17:00,EUR,贸易收支 ,-2.40B,-1,-3.80B
2000-11-01 17:00,EUR,失业率 ,8.60%,-1,8.70%
2000-11-01 20:30,USD,失业率 ,3.90%,-1,3.90%
2000-11-03 20:30,USD,非农就业人数 ,-15K,-1,135K
2000-11-04 01:00,USD,贝克休斯原油钻井设备数量,232,-1,228
2000-11-11 01:00,USD,贝克休斯原油钻井设备数量,226,-1,232
2000-11-18 01:00,USD,贝克休斯原油钻井设备数量,232,-1,226
2000-11-21 17:00,EUR,德国Ifo商业景气指数,97.2,97.6,98
2000-11-23 01:00,USD,贝克休斯原油钻井设备数量,244,-1,232
